inspection_date,year,month,month_name,day,day_name,quarter
08/16/2018,2018,8,August,16,Thursday,3
07/15/2017,2017,7,July,15,Saturday,3
11/23/2019,2019,11,November,23,Saturday,4
02/16/2019,2019,2,February,16,Saturday,1
06/24/2019,2019,6,June,24,Monday,2
07/25/2018,2018,7,July,25,Wednesday,3
10/20/2018,2018,10,October,20,Saturday,4
05/16/2016,2016,5,May,16,Monday,2
12/16/2016,2016,12,December,16,Friday,4
04/17/2016,2016,4,April,17,Sunday,2
02/17/2016,2016,2,February,17,Wednesday,1
11/10/2015,2015,11,November,10,Tuesday,4
10/04/2016,2016,10,October,4,Tuesday,4
02/15/2020,2020,2,February,15,Saturday,1
11/15/2017,2017,11,November,15,Wednesday,4
03/20/2018,2018,3,March,20,Tuesday,1
11/25/2016,2016,11,November,25,Friday,4
07/30/2016,2016,7,July,30,Saturday,3
06/25/2017,2017,6,June,25,Sunday,2
04/10/2016,2016,4,April,10,Sunday,2
03/11/2016,2016,3,March,11,Friday,1
03/12/2019,2019,3,March,12,Tuesday,1
10/07/2017,2017,10,October,7,Saturday,4
02/10/2019,2019,2,February,10,Sunday,1
