id_geography,zipcode,id_borough,building,street,latitude,longitude
6128,11201,3,455,ALBEE SQUARE WEST,40.690612141932,-73.983463116646
2482,11226,3,4,NEWKIRK PLAZA,40.635461959982,-73.962806666785
7969,10038,1,9,MAIDEN LANE,40.709598521487,-74.009554890835
16163,10036,1,592,9 AVENUE,40.758782098419,-73.992354752911
13771,11372,4,7301,37TH RD,40.747154383272,-73.892274289694
17365,11354,4,15722,NORTHERN BLVD,40.763691248051,-73.807959265524
22182,10467,2,767,ALLERTON AVENUE,40.865484349384,-73.864781440385
16004,11358,4,19519,NORTHERN BLVD,40.757952289569,-73.786412013969
0,null,1,2546,FREDERICK DOUGLASS BOULEVARD,0,0
19329,11357,4,153-27,CROSS ISLAND PARKWAY,40.786934576832,-73.808372253703
53,10309,5,4864,ARTHUR KILL ROAD,40.523565303537,-74.239205152461
19587,10025,1,2567,BROADWAY,40.794927250924,-73.971587374188
3158,11219,3,3901,NEW UTRECHT AVENUE,40.645434167416,-73.994475837193
2339,11219,3,5115,13 AVENUE,40.633752320524,-73.993421168472
13446,10001,1,165,WEST   26 STREET,40.745538680041,-73.993153852872
20060,10027,1,1207,AMSTERDAM AVENUE,40.808965743978,-73.959472639147
16841,11361,4,22006,NORTHERN BLVD,40.761468620827,-73.761474940957
19167,10128,1,1670,3 AVENUE,40.783606229458,-73.950496730836
2311,11209,3,7205,3 AVENUE,40.633384273684,-74.026988912857
9681,11375,4,7049,AUSTIN STREET,40.720432785979,-73.845520210667
3291,11226,3,1617,CHURCH AVENUE,40.648818655922,-73.964665899557
19786,10025,1,953,AMSTERDAM AVENUE,40.800928298588,-73.965332520076
973,11214,3,2202,86 STREET,40.60184421269,-73.993665600805
6776,11435,4,94-02,SUTPHIN BOULEVARD,40.698904597637,-73.806884362129
6300,11221,3,1185,BROADWAY,40.692514400408,-73.927348851405
244,10306,5,278,NEW DORP LANE,40.572153175602,-74.112942474015
1252,11234,3,5102,AVENUE U,40.609969984731,-73.922220342178
14385,10018,1,16,WEST   36 STREET,40.750020014447,-73.984365043628
21866,10453,2,2195,GRAND CONCOURSE,40.855714341269,-73.901019445694
3815,11225,3,1082,NOSTRAND AVENUE,40.661450474514,-73.95072469913
9532,10013,1,239,WEST BROADWAY,40.71964461807,-74.005959633107
19110,10024,1,380,AMSTERDAM AVENUE,40.782566441625,-73.97875679084
6147,11201,3,445,GOLD ST,40.690826232689,-73.98345224546
6060,11201,3,80,DEKALB AVENUE,40.68985672822,-73.979720371884
1190,11223,3,1828,MCDONALD AVENUE,40.608030664078,-73.972859310032
12210,10014,1,24,8 AVENUE,40.737669554092,-74.004673014982
16419,10022,1,940,3 AVENUE,40.759881205663,-73.967718329198
5160,11417,4,9304,LIBERTY AVE,40.680186391041,-73.845707539922
6150,11205,3,525,DEKALB AVENUE,40.690860096506,-73.955848590693
21888,10453,2,2233,GRAND CONCOURSE,40.856131293851,-73.90073324095
20196,10465,2,2680,SCHURZ AVENUE,40.813236109247,-73.822855117548
21799,10462,2,736,LYDIG AVENUE,40.854454950943,-73.866220978931
21566,10033,1,700,WEST  180 STREET,40.849596840283,-73.936737244687
19544,10029,1,2146,2 AVENUE,40.793370010398,-73.940413253622
10516,10009,1,171,AVENUE C,40.726197029974,-73.97729920517
5422,11216,3,1185,BEDFORD AVENUE,40.682732002865,-73.9537772123
22494,10467,2,332,EAST GUN HILL ROAD,40.878814163531,-73.873245063337
16920,10019,1,1320,AVENUE OF THE AMERICAS,40.761854557498,-73.978980011477
3199,11236,3,1370,ROCKAWAY PARKWAY,40.646327023346,-73.903666367883
3550,11414,4,161-50,CROSSBAY BOULEVARD,40.654974365702,-73.838849957521
14482,10001,1,340,9 AVENUE,40.750537083057,-73.99836502992
19208,10024,1,472,COLUMBUS AVENUE,40.784291863123,-73.973783832856
2419,11209,3,7003,3 AVENUE,40.634715623379,-74.026431001172
17505,11354,4,15517,NORTHERN BLVD,40.76429542641,-73.809805817569
22338,10468,2,2701,SEDGWICK AVENUE,40.869953129347,-73.903214602108
4476,11208,3,507,PINE STREET,40.673193085105,-73.870403669679
21110,10032,1,3892,BROADWAY,40.837553125871,-73.942306988991
16657,11106,4,3420,BROADWAY,40.760727102605,-73.922769179643
3719,11212,3,345,EAST   98 STREET,40.659564460566,-73.916864022863
4801,11420,4,114-46,ROCKAWAY BOULEVARD,40.676777854118,-73.823233398682
20746,10031,1,3600,BROADWAY,40.828432766425,-73.948970898181
6730,11433,4,150-19,LIBERTY AVENUE,40.698026184674,-73.802007510124
14850,11377,4,6910,34 AVENUE,40.752475199788,-73.896856698781
3508,11226,3,1376,NOSTRAND AVENUE,40.653158110377,-73.949837075874
8857,10013,1,178,CHURCH STREET,40.715601489743,-74.007416621995
